#{"t_start": 1628130611.9771528, "env_id": null}
r,l,t
6428.0,501,364.376516
3875.0,501,366.282687
3629.0,501,368.116959
2412.5,501,369.987171
6063.5,501,371.765162
6569.0,501,373.574314
7147.5,501,375.403075
5642.0,501,377.280465
5577.5,501,379.074985
5949.5,501,380.956468
5510.0,501,382.713142
2258.0,501,384.567582
5763.0,501,386.449875
6509.0,501,388.283204
1885.5,501,390.105814
1876.0,501,391.966632
1998.5,501,393.715822
6320.0,501,395.598802
7038.0,501,397.436254
6491.0,501,399.278175
6669.5,501,401.097178
7072.5,501,402.90987
6072.0,501,404.672022
5795.0,501,406.60878
6533.5,501,408.486403
6881.5,501,410.361117
6226.0,501,412.211654
4064.0,501,414.08332
6416.0,501,415.989485
5409.5,501,417.858763
6127.5,501,419.719922
2895.0,501,421.647978
5548.0,501,423.522001
5773.5,501,425.370043
6567.5,501,427.304969
6989.5,501,429.229006
3144.5,501,431.135325
6052.5,501,432.93319
3832.5,501,434.804241
6079.5,501,436.653503
3991.5,501,438.565235
2247.0,501,440.477325
1666.5,501,442.340384
2986.5,501,444.153732
2612.5,501,446.002368
2276.5,501,447.857388
1493.0,501,449.734538
3174.0,501,451.610004
2539.5,501,453.40627
3826.5,501,455.24795
3392.0,501,457.084092
3372.0,501,459.001794
3717.0,501,460.919907
2839.5,501,462.824067
3986.0,501,464.686605
4333.5,501,466.587769
2706.0,501,468.498406
1852.5,501,470.419337
3063.0,501,472.264058
4185.0,501,474.125718
4099.5,501,475.977229
2497.5,501,477.833129
2602.5,501,479.716663
2802.0,501,481.626352
2833.5,501,483.504147
3618.0,501,485.302546
2950.5,501,487.174753
2778.0,501,489.020271
3492.0,501,490.8529
2049.0,501,492.662222
3541.5,501,494.461529
3550.5,501,496.298485
3212.5,501,498.10112
3049.0,501,499.861727
4315.5,501,501.616007
3256.5,501,503.375041
4675.5,501,505.127203
2644.5,501,506.888994
2057.5,501,508.63908
3750.5,501,510.388107
3151.5,501,512.157633
1875.5,501,513.958939
2066.5,501,515.769305
3320.5,501,517.568984
3513.0,501,519.411337
2778.5,501,521.195248
2538.5,501,523.026353
3438.0,501,524.871473
4331.5,501,526.68762
2338.0,501,528.47489
2636.5,501,530.280282
5193.5,501,532.090455
2184.0,501,533.934954
2103.5,501,535.77463
3165.0,501,537.579782
2463.0,501,539.359503
2610.0,501,541.20381
1984.0,501,543.050918
3141.0,501,544.879617
2883.5,501,546.68295
3331.5,501,548.490172
2228.0,501,550.298782
3790.5,501,552.211873
4323.0,501,554.047997
3397.0,501,555.916513
3238.5,501,557.785193
1739.0,501,559.596369
3643.0,501,561.460589
2303.0,501,563.286293
3903.0,501,565.073158
3590.5,501,566.860323
2276.5,501,568.651557
2478.5,501,570.443496
4297.0,501,572.269839
2372.0,501,574.077174
3596.5,501,575.852453
2287.0,501,577.645674
2639.5,501,579.513674
2964.0,501,581.35746
4600.5,501,583.203559
2554.0,501,584.96861
2555.0,501,586.778376
3848.0,501,588.584502
4484.5,501,590.435472
3056.5,501,592.269022
2807.0,501,594.107926
3529.0,501,596.047275
3906.5,501,598.000758
1657.0,501,599.843197
2957.5,501,601.682237
2900.0,501,603.522402
3459.0,501,605.353059
3353.5,501,607.148616
2273.5,501,608.955932
3809.5,501,610.786865
3186.0,501,612.622179
2773.5,501,614.464234
3209.0,501,616.274787
3568.0,501,618.061957
3094.5,501,619.934262
2351.5,501,621.780126
2722.0,501,623.591807
2284.0,501,625.363027
2595.5,501,627.189506
5367.5,501,629.013559
2758.0,501,630.872578
2738.5,501,632.708892
4282.0,501,634.486966
2750.5,501,636.300319
2569.5,501,638.157549
3677.5,501,640.027443
5060.0,501,641.806413
1974.0,501,643.621074
3783.0,501,645.456141
3697.0,501,647.255818
3743.0,501,649.118337
2266.5,501,650.914468
1924.5,501,652.736132
4520.0,501,654.624794
2911.0,501,656.391117
4575.5,501,658.220754
3267.0,501,660.065786
2709.0,501,661.913656
2213.0,501,663.706883
3179.5,501,665.520169
4453.5,501,667.370847
3433.0,501,669.148591
3063.5,501,671.043319
2708.5,501,672.872462
3840.5,501,674.640675
2824.0,501,676.420744
3216.0,501,678.194439
3405.5,501,680.015676
2110.0,501,681.823909
3582.0,501,683.632948
2137.5,501,685.470644
3052.5,501,687.272466
3493.5,501,689.070167
2449.5,501,690.89325
2436.5,501,692.727943
2908.5,501,694.528052
4494.0,501,696.338237
2797.5,501,698.170835
3239.5,501,699.983226
2591.5,501,701.819477
2425.0,501,703.612109
3306.0,501,705.440456
3394.0,501,707.256693
2995.5,501,709.174946
4306.5,501,711.007514
3286.5,501,712.833149
4837.5,501,714.63336
3793.0,501,716.429786
4247.5,501,718.284267
3952.5,501,720.091914
5471.0,501,721.92876
2298.5,501,723.74441
2462.5,501,725.522107
5656.0,501,727.341136
1939.5,501,729.139624
2704.0,501,730.994178
5049.0,501,732.826068
1925.0,501,734.609375
3231.5,501,736.43241
1999.5,501,738.217936
1863.0,501,740.062322
2309.0,501,741.966773
3862.5,501,743.90376
3060.5,501,745.694337
2776.5,501,747.515279
2803.5,501,749.371948
2988.0,501,751.24774
2379.5,501,753.086106
3742.5,501,754.929373
3921.0,501,756.734595
3074.0,501,758.586475
3114.0,501,760.492921
2016.0,501,762.365737
3230.0,501,764.230053
2819.0,501,766.090678
3135.5,501,767.92654
4030.5,501,769.813308
1991.0,501,771.617588
3549.0,501,773.4516
2135.0,501,775.366146
2200.0,501,777.184822
3524.0,501,779.063722
2136.5,501,780.983972
1638.0,501,782.874415
2907.0,501,784.737017
5249.0,501,786.538235
2723.0,501,788.401464
2908.0,501,790.270074
1594.5,501,792.151662
2708.0,501,794.01957
3745.0,501,795.856158
2757.0,501,797.751284
2292.0,501,799.614402
1813.5,501,801.474116
2811.0,501,803.298269
3165.0,501,805.114518
3367.5,501,807.011672
2662.5,501,808.84039
2903.0,501,810.730328
3166.0,501,812.576387
1443.5,501,814.436891
2823.0,501,816.262686
3475.0,501,818.093877
1921.0,501,819.958711
3011.5,501,821.85846
1553.5,501,823.7528
2406.0,501,825.54994
2396.5,501,827.342181
3150.0,501,829.174473
2159.5,501,830.965776
2775.5,501,832.808701
2004.5,501,834.672403
1917.5,501,836.566066
2182.0,501,838.404512
1268.5,501,840.18634
1425.0,501,842.087307
2053.5,501,844.027523
2621.5,501,845.916665
2548.0,501,847.760483
2504.5,501,849.585742
2512.5,501,851.484684
2701.0,501,853.321458
2420.0,501,855.132451
2379.5,501,856.999573
2767.5,501,858.858226
1554.0,501,860.694095
2431.0,501,862.530857
2686.5,501,864.464011
3397.5,501,866.341988
2782.5,501,868.219525
3119.5,501,870.032695
1730.0,501,871.861819
1649.0,501,873.714531
982.5,501,875.506772
2162.5,501,877.302184
3738.0,501,879.112806
3540.0,501,880.972894
2819.0,501,882.832533
2748.5,501,884.741196
2029.0,501,886.618968
2768.5,501,888.439624
2228.0,501,890.316382
3243.5,501,892.239734
2214.5,501,894.111241
2363.0,501,895.925206
4317.0,501,897.781982
2673.0,501,899.667163
2328.0,501,901.749632
3292.0,501,904.17451
4114.0,501,906.085372
5493.0,501,907.93035
2694.5,501,909.81366
3576.5,501,911.746747
1884.0,501,913.627465
2884.5,501,915.453239
3158.5,501,917.367964
1965.5,501,919.205549
2166.5,501,921.093767
2659.5,501,922.903141
3318.0,501,924.90675
2793.5,501,926.792581
3797.0,501,928.68988
3089.5,501,930.517757
1506.0,501,932.407156
2653.0,501,934.246961
2713.0,501,936.114638
2740.0,501,937.994658
2107.0,501,939.902405
3255.0,501,941.805901
2452.5,501,943.665028
2315.0,501,945.501081
2320.0,501,947.406273
4591.0,501,949.281789
4122.5,501,951.168672
1836.5,501,953.066496
2583.0,501,954.950392
3184.5,501,956.74863
3724.0,501,958.618128
2049.0,501,960.47044
2781.5,501,962.321109
3313.5,501,964.141351
2763.5,501,966.051601
3659.0,501,967.85769
2873.5,501,969.795796
1312.0,501,971.66407
2706.5,501,973.517518
1158.5,501,975.346137
2227.5,501,977.208756
1702.5,501,979.06187
2616.5,501,980.971671
1333.0,501,982.882161
3480.0,501,984.719268
3321.5,501,986.58737
3547.5,501,988.402356
2599.0,501,990.306647
2159.5,501,992.198859
1892.5,501,994.048612
2373.0,501,995.851239
2895.0,501,997.755451
1371.0,501,999.652578
1587.5,501,1001.541201
1792.0,501,1003.353632
2680.0,501,1005.216116
1399.0,501,1007.104345
2499.5,501,1008.955075
1342.5,501,1010.85875
1657.5,501,1012.675573
2824.5,501,1014.544195
2148.5,501,1016.449528
1389.0,501,1018.341197
1868.0,501,1020.227955
1746.0,501,1022.098323
2189.5,501,1023.950874
2693.0,501,1025.869538
3441.0,501,1027.693946
2462.5,501,1029.553149
1389.0,501,1031.456113
1517.5,501,1033.344478
1560.5,501,1035.212199
1854.5,501,1037.08104
2628.5,501,1038.994772
2806.5,501,1040.875933
3345.0,501,1042.726291
2754.5,501,1044.56363
1506.5,501,1046.426833
2534.0,501,1048.318105
1137.5,501,1050.153194
1758.0,501,1051.997101
3241.0,501,1053.875454
2952.5,501,1055.850884
1362.5,501,1057.718427
2314.0,501,1059.600557
2570.0,501,1061.474974
2461.5,501,1063.315449
2721.5,501,1065.198166
2927.0,501,1067.057425
2033.0,501,1068.873756
1905.5,501,1070.725052
2169.5,501,1072.634571
2220.5,501,1074.541455
1539.5,501,1076.409866
2040.5,501,1078.238375
2356.5,501,1080.047418
2924.5,501,1081.943233
1160.5,501,1083.851253
1278.5,501,1085.729842
2490.5,501,1087.591167
1458.0,501,1089.429094
2129.5,501,1091.32952
2025.5,501,1093.234891
2295.0,501,1095.099667
2958.5,501,1096.912882
1167.0,501,1098.785318
2888.5,501,1100.633412
2365.5,501,1102.491053
1943.0,501,1104.367168
1938.5,501,1106.201452
1824.5,501,1108.092482
2926.5,501,1109.990953
2039.0,501,1111.869062
2724.0,501,1113.702706
1374.5,501,1115.575594
1644.5,501,1117.478977
1593.5,501,1119.415122
1668.5,501,1121.307948
2109.5,501,1123.131014
2622.0,501,1125.008195
2589.5,501,1126.940964
1404.5,501,1128.822355
3289.5,501,1130.642485
3348.0,501,1132.520121
2939.5,501,1134.393002
2293.0,501,1136.30968
2776.5,501,1138.117716
1934.0,501,1139.911837
2991.5,501,1141.78249
1596.0,501,1143.694142
1836.5,501,1145.561302
3121.5,501,1147.37925
3055.5,501,1149.217103
1686.0,501,1151.083207
2242.0,501,1152.972523
2965.0,501,1154.861496
3098.0,501,1156.741689
2736.5,501,1158.589576
2314.5,501,1160.431485
3131.5,501,1162.336135
2063.5,501,1164.224785
2216.5,501,1166.092736
3654.0,501,1167.882612
2542.5,501,1169.715515
3117.0,501,1171.573101
2290.0,501,1173.492198
3061.5,501,1175.352619
2390.5,501,1177.260658
2631.0,501,1179.08773
2965.0,501,1180.951783
2262.5,501,1182.807396
2383.0,501,1184.656674
2782.0,501,1186.541337
1521.0,501,1188.386184
2891.0,501,1190.231735
2149.0,501,1192.034992
3426.5,501,1193.947658
4131.5,501,1195.861844
3139.0,501,1197.748999
4444.5,501,1199.545265
2939.0,501,1201.405093
2207.0,501,1203.307217
2895.0,501,1205.196699
2190.0,501,1207.086781
2258.0,501,1208.971323
3106.0,501,1210.802672
2117.0,501,1212.691029
2589.0,501,1214.577896
3668.5,501,1216.446831
3275.0,501,1218.276974
2947.0,501,1220.163118
2132.5,501,1222.025642
3321.5,501,1223.932305
2426.5,501,1225.795527
2524.5,501,1227.645733
5127.5,501,1229.513588
4622.5,501,1231.42669
3823.0,501,1233.335361
3636.0,501,1235.193321
3697.5,501,1237.058571
3309.5,501,1238.954371
2891.5,501,1240.837809
5573.0,501,1242.701834
2566.0,501,1244.544116
1687.0,501,1246.377651
2724.0,501,1248.259283
1599.0,501,1250.15266
1644.5,501,1252.041362
3448.5,501,1253.873285
3532.5,501,1255.64821
2614.5,501,1257.438157
5062.0,501,1259.222943
1763.0,501,1261.02574
3314.5,501,1262.890098
2978.0,501,1264.724543
3401.5,501,1266.591963
3994.0,501,1268.456048
2511.0,501,1270.308539
2929.0,501,1272.164162
4477.0,501,1273.980514
2231.0,501,1275.885009
2187.5,501,1277.803901
3056.0,501,1279.704178
3163.0,501,1281.5069
2218.0,501,1283.399971
2794.0,501,1285.280465
