#{"t_start": 1626354269.592577, "env_id": null}
r,l,t
100,3,409.041139
50,2,410.470072
150,4,411.430645
150,4,413.338891
100,3,415.247216
100,3,416.679777
50,2,418.112595
50,2,419.070567
50,2,420.03004
50,2,420.98587
50,2,421.942549
50,2,422.899493
100,3,423.859027
50,2,425.289768
100,3,426.248299
50,2,427.676177
200,5,428.637485
100,3,431.25383
100,3,432.68485
50,2,434.113935
50,2,435.06984
150,4,436.029081
50,2,437.934797
100,3,438.893914
50,2,440.32687
50,2,441.2837
100,3,442.243861
50,2,443.676101
50,2,444.633219
150,4,445.593423
50,2,447.498456
150,4,448.458518
50,2,450.36593
150,4,451.329938
100,3,453.235923
100,3,454.667315
150,4,456.100029
50,2,458.003557
50,2,458.960487
100,3,459.919487
100,3,461.3544
50,2,462.787448
50,2,463.745163
100,3,464.705263
50,2,466.140799
150,4,467.100008
50,2,469.004064
50,2,469.960673
50,2,470.918488
100,3,471.876873
50,2,473.307623
50,2,474.26332
50,2,475.219749
50,2,476.175596
100,3,477.131867
150,4,478.565102
50,2,480.472391
50,2,481.429559
100,3,482.387629
50,2,483.818611
100,3,484.777589
100,3,486.209488
100,3,487.640541
100,3,489.072202
50,2,490.505035
100,3,491.464223
50,2,492.895905
50,2,493.853023
100,3,494.811885
100,3,496.243516
50,2,497.672668
150,4,498.631502
50,2,500.536507
50,2,501.493278
50,2,502.450241
50,2,503.406556
150,4,504.367895
50,2,506.274494
50,2,507.232393
100,3,508.190052
50,2,509.622509
100,3,510.581703
100,3,512.014558
50,2,513.445825
50,2,514.404845
100,3,515.361868
150,4,516.793915
150,4,518.701218
50,2,520.607371
100,3,521.565045
100,3,522.998662
50,2,524.429273
50,2,525.387092
50,2,526.346432
100,3,527.306461
50,2,528.737936
50,2,529.693671
200,5,530.654081
100,3,533.033689
50,2,534.466344
100,3,535.427632
50,2,536.861806
100,3,537.819288
50,2,539.249687
50,2,540.205517
100,3,541.162615
50,2,542.591775
100,3,543.550804
50,2,544.985593
50,2,545.942531
50,2,546.899406
100,3,547.856712
50,2,549.288894
150,4,550.247943
50,2,552.151879
50,2,553.107847
100,3,554.067237
50,2,555.497528
50,2,556.454019
100,3,557.412255
100,3,558.845011
50,2,560.27768
150,4,561.238875
50,2,563.144161
150,4,564.106802
200,5,566.018362
50,2,568.39775
100,3,569.353535
100,3,570.787984
100,3,572.21849
50,2,573.647249
50,2,574.603287
150,4,575.563861
50,2,577.468652
50,2,578.424994
150,4,579.4354
50,2,581.339814
50,2,582.295788
50,2,583.250623
200,5,584.211043
50,2,586.590266
50,2,587.546597
50,2,588.503624
50,2,589.46017
100,3,590.418955
50,2,591.847903
100,3,592.807686
50,2,594.237477
100,3,595.19815
50,2,596.633003
200,5,597.595154
100,3,599.977095
100,3,601.40993
100,3,602.842994
50,2,604.274091
100,3,605.231491
150,4,606.668175
100,3,608.575545
200,5,610.012723
100,3,612.393908
50,2,613.826682
100,3,614.786635
100,3,616.217645
100,3,617.650712
50,2,619.083787
50,2,620.041027
50,2,620.998114
50,2,621.955701
100,3,622.913177
50,2,624.344613
100,3,625.302543
150,4,626.736141
50,2,628.643265
50,2,629.600661
50,2,630.561901
100,3,631.522945
50,2,632.954403
100,3,633.911537
50,2,635.343014
50,2,636.299622
50,2,637.256457
200,5,638.24929
100,3,640.797095
50,2,642.296574
50,2,643.289886
50,2,644.275978
50,2,645.256617
50,2,646.231982
150,4,647.209556
50,2,649.187968
100,3,650.156545
100,3,651.581606
50,2,653.006486
200,5,653.961052
50,2,656.326972
100,3,657.279239
100,3,658.70515
200,5,660.132721
50,2,662.499226
100,3,663.451397
50,2,664.875227
100,3,665.827119
100,3,667.251539
50,2,668.673988
100,3,669.626666
100,3,671.051161
50,2,672.47344
100,3,673.425879
50,2,674.849177
100,3,675.801624
50,2,677.22518
100,3,678.177296
100,3,679.606691
50,2,681.03323
200,5,681.993323
50,2,684.360818
100,3,685.313937
100,3,686.738019
50,2,688.160631
50,2,689.112831
50,2,690.067997
50,2,691.021984
100,3,691.977538
150,4,693.404372
100,3,695.302999
100,3,696.729017
50,2,698.152327
50,2,699.103523
100,3,700.056199
50,2,701.478801
100,3,702.488018
150,4,703.913801
50,2,705.813316
50,2,706.766038
100,3,707.718421
50,2,709.142246
50,2,710.096244
50,2,711.047375
50,2,711.999129
50,2,712.950581
100,3,713.906053
100,3,715.331663
50,2,716.755458
50,2,717.70726
50,2,718.659638
150,4,719.615497
100,3,721.513424
50,2,722.937904
100,3,723.892993
50,2,725.315873
50,2,726.266168
100,3,727.218913
100,3,728.644555
50,2,730.067803
50,2,731.018366
100,3,731.970807
100,3,733.396734
50,2,734.819305
100,3,735.772013
50,2,737.19483
50,2,738.146395
50,2,739.097142
50,2,740.04792
100,3,741.000612
150,4,742.427857
50,2,744.325865
100,3,745.279213
150,4,746.704607
100,3,748.601515
50,2,750.02501
50,2,750.978948
100,3,751.931458
50,2,753.356191
100,3,754.308676
50,2,755.730829
50,2,756.681368
50,2,757.633564
100,3,758.585847
50,2,760.009009
50,2,760.963604
50,2,761.918064
100,3,762.87585
50,2,764.300869
50,2,765.252726
100,3,766.207611
100,3,767.633974
100,3,769.060239
50,2,770.484696
50,2,771.436399
100,3,772.388929
50,2,773.812084
100,3,774.764877
150,4,776.193639
50,2,778.08815
50,2,779.038742
50,2,779.989274
200,5,780.945165
100,3,783.314086
50,2,784.737141
150,4,785.690244
100,3,787.588693
50,2,789.011489
150,4,789.964603
50,2,791.858859
50,2,792.810487
50,2,793.761075
150,4,794.719528
50,2,796.61709
100,3,797.569743
150,4,798.99599
50,2,800.891288
50,2,801.841787
100,3,802.799876
100,3,804.226543
100,3,805.65238
150,4,807.079627
150,4,808.980092
100,3,810.880564
50,2,812.3044
150,4,813.259468
100,3,815.156889
100,3,816.581315
50,2,818.004389
50,2,818.955344
100,3,819.907855
100,3,821.331475
100,3,822.755395
100,3,824.182215
50,2,825.610199
50,2,826.561505
50,2,827.513087
50,2,828.464165
50,2,829.416811
150,4,830.372617
50,2,832.268017
50,2,833.218894
50,2,834.170204
50,2,835.120876
50,2,836.071907
100,3,837.024304
100,3,838.45003
150,4,839.875651
50,2,841.771521
50,2,842.722711
100,3,843.676698
50,2,845.099819
50,2,846.051034
150,4,847.004613
100,3,848.903028
100,3,850.328095
50,2,851.754611
50,2,852.707912
50,2,853.660564
100,3,854.612568
50,2,856.035745
50,2,856.987107
50,2,857.939675
150,4,858.89408
50,2,860.789076
150,4,861.74355
50,2,863.639535
50,2,864.589962
150,4,865.544232
100,3,867.441159
50,2,868.865266
50,2,869.819092
50,2,870.773262
100,3,871.729767
50,2,873.157398
50,2,874.108431
100,3,875.062412
50,2,876.484892
150,4,877.440239
50,2,879.334981
50,2,880.285506
150,4,881.23985
100,3,883.136763
50,2,884.559149
100,3,885.511395
50,2,886.933353
50,2,887.885303
50,2,888.835826
50,2,889.786643
50,2,890.737139
150,4,891.691445
100,3,893.586785
150,4,895.013132
50,2,896.908697
50,2,897.860255
50,2,898.811508
50,2,899.762214
50,2,900.712159
150,4,901.667082
50,2,903.561623
50,2,904.512448
100,3,905.465051
50,2,906.889368
50,2,907.84364
50,2,908.805404
50,2,909.756411
50,2,910.709471
50,2,911.661809
150,4,912.6166
100,3,914.514385
50,2,915.939746
100,3,916.893893
50,2,918.318374
50,2,919.269848
100,3,920.222783
50,2,921.645219
50,2,922.595763
100,3,923.547945
50,2,924.972592
50,2,925.923081
100,3,926.875764
50,2,928.298779
100,3,929.251653
100,3,930.676835
150,4,932.103009
50,2,933.997818
150,4,934.958359
100,3,936.857218
100,3,938.281319
50,2,939.704096
50,2,940.656984
50,2,941.607622
50,2,942.558556
50,2,943.509826
100,3,944.466852
50,2,945.893489
50,2,946.845165
100,3,947.800272
50,2,949.226088
100,3,950.180684
100,3,951.607077
100,3,953.033723
50,2,954.459278
50,2,955.412289
50,2,956.365109
50,2,957.317432
50,2,958.270168
100,3,959.223815
50,2,960.64812
100,3,961.601637
150,4,963.03132
100,3,964.931809
50,2,966.359115
150,4,967.321381
100,3,969.223456
50,2,970.645223
100,3,971.597711
50,2,973.019986
50,2,973.971827
50,2,974.922629
50,2,975.8765
100,3,976.831206
50,2,978.256503
50,2,979.206414
50,2,980.157108
100,3,981.108983
100,3,982.534912
50,2,983.957732
50,2,984.908513
100,3,985.86496
50,2,987.291654
50,2,988.242117
50,2,989.192502
100,3,990.145178
50,2,991.570511
50,2,992.520971
50,2,993.471761
50,2,994.422592
50,2,995.374858
50,2,996.325603
100,3,997.280086
150,4,998.710536
50,2,1000.612628
50,2,1001.563989
50,2,1002.514077
50,2,1003.464708
50,2,1004.416727
50,2,1005.367845
50,2,1006.318641
100,3,1007.270782
50,2,1008.694605
50,2,1009.64496
100,3,1010.597701
50,2,1012.021139
50,2,1012.973377
50,2,1013.926688
50,2,1014.880709
50,2,1015.834038
50,2,1016.786681
50,2,1017.73842
50,2,1018.689957
50,2,1019.641363
50,2,1020.596265
50,2,1021.548915
100,3,1022.502493
150,4,1023.930799
50,2,1025.829099
50,2,1026.780745
100,3,1027.734657
50,2,1029.159436
50,2,1030.112995
50,2,1031.06546
50,2,1032.023378
50,2,1032.980552
50,2,1033.935482
150,4,1034.88987
100,3,1036.787445
100,3,1038.211756
50,2,1039.636037
50,2,1040.58671
50,2,1041.537714
50,2,1042.490374
50,2,1043.446058
50,2,1044.397923
100,3,1045.34954
50,2,1046.772309
50,2,1047.723759
100,3,1048.676211
50,2,1050.098984
100,3,1051.052933
50,2,1052.478803
150,4,1053.437043
50,2,1055.332491
100,3,1056.284493
50,2,1057.707749
100,3,1058.659915
100,3,1060.084228
50,2,1061.507003
50,2,1062.460872
50,2,1063.411446
100,3,1064.363353
50,2,1065.786367
100,3,1066.740171
100,3,1068.165198
100,3,1069.589728
150,4,1071.046844
50,2,1072.943503
50,2,1073.893806
50,2,1074.84462
50,2,1075.795562
100,3,1076.748434
50,2,1078.17097
50,2,1079.121696
50,2,1080.072476
100,3,1081.027671
50,2,1082.453837
50,2,1083.40521
50,2,1084.3565
50,2,1085.309779
50,2,1086.260902
100,3,1087.214778
50,2,1088.638288
50,2,1089.590659
50,2,1090.542054
100,3,1091.495894
50,2,1092.91972
50,2,1093.872345
50,2,1094.823785
50,2,1095.77416
50,2,1096.724319
50,2,1097.676837
50,2,1098.627304
50,2,1099.578051
50,2,1100.528602
50,2,1101.47998
50,2,1102.430106
50,2,1103.380884
50,2,1104.331698
50,2,1105.283668
50,2,1106.234692
50,2,1107.189508
50,2,1108.142063
100,3,1109.099938
100,3,1110.528264
50,2,1111.952231
50,2,1112.903648
50,2,1113.856682
50,2,1114.808633
100,3,1115.761937
150,4,1117.189014
50,2,1119.086118
50,2,1120.038276
150,4,1120.993022
50,2,1122.888709
50,2,1123.841755
150,4,1124.796832
100,3,1126.693741
50,2,1128.116245
50,2,1129.067874
50,2,1130.018142
100,3,1130.970611
50,2,1132.39375
100,3,1133.347651
50,2,1134.773457
50,2,1135.726975
50,2,1136.681074
50,2,1137.636837
100,3,1138.593033
50,2,1140.01976
50,2,1140.970814
50,2,1141.923508
100,3,1142.876443
50,2,1144.300272
50,2,1145.251145
50,2,1146.202546
50,2,1147.153298
50,2,1148.103662
50,2,1149.054382
50,2,1150.005615
50,2,1150.956156
100,3,1151.908396
50,2,1153.330579
50,2,1154.286114
100,3,1155.240347
50,2,1156.663778
50,2,1157.615221
50,2,1158.566788
50,2,1159.516977
50,2,1160.46764
50,2,1161.418466
50,2,1162.370511
50,2,1163.321556
50,2,1164.272239
50,2,1165.223188
50,2,1166.174657
50,2,1167.125532
50,2,1168.076805
50,2,1169.027642
100,3,1169.981568
100,3,1171.412324
100,3,1172.838206
50,2,1174.26212
50,2,1175.21413
50,2,1176.165843
50,2,1177.116675
50,2,1178.068552
100,3,1179.023515
100,3,1180.449217
50,2,1181.871211
100,3,1182.823142
50,2,1184.245742
50,2,1185.196098
50,2,1186.146893
50,2,1187.097476
50,2,1188.049301
50,2,1188.999654
50,2,1189.950169
50,2,1190.900993
50,2,1191.852506
100,3,1192.804838
50,2,1194.227805
50,2,1195.178586
50,2,1196.13094
50,2,1197.085036
50,2,1198.038298
50,2,1198.989682
50,2,1199.941324
50,2,1200.891974
50,2,1201.842946
50,2,1202.793219
50,2,1203.746275
50,2,1204.697083
50,2,1205.647868
50,2,1206.598804
50,2,1207.552166
50,2,1208.506602
50,2,1209.458567
50,2,1210.409486
50,2,1211.362432
50,2,1212.314444
50,2,1213.266278
50,2,1214.218281
50,2,1215.176138
100,3,1216.13541
50,2,1217.561602
50,2,1218.516145
100,3,1219.471502
100,3,1220.895714
50,2,1222.318379
100,3,1223.271073
50,2,1224.694549
50,2,1225.645131
50,2,1226.595472
50,2,1227.545926
50,2,1228.499105
50,2,1229.449268
100,3,1230.401879
50,2,1231.826225
